experiment,date,participant,condition,age_num,gender,race,parent_income,pas,pets_now,pets_child,dog_discomfort,dog_ambivalence,dog_desire_to_interact,dog_comfort,duration_interaction,panas_pre_neg,panas_pre_pos,panas_post_neg,panas_post_pos,panas_pos_diff,panas_neg_diff,vas_anxiety_pre,vas_anxiety_post,vas_stress_pre,vas_stress_post,stai_trait,stai_state,drm_accuracy,drm_d_prime,ncpc_pre_diff,ncpc_post_diff,ncpc_diff,bds_index_pre,bds_index_post,bds_index_diff,nback_d_prime_pre,nback_d_prime_post,nback_d_prime_diff
1,2018-09-14T00:00:00Z,3,hai,19,Male,White/Caucasian,$75000-$100000,5.722222222222222,0,1,1,1,3.3333333333333335,3,NA,1.6,3.6,1.1,3.8,0.19999999999999973,-0.5,NA,NA,NA,NA,NA,NA,0.6666666666666666,-0.8855463711431761,-1,-10,-9,0,6,6,-0.06590517389363804,-0.09710935676464066,-0.031204182871002628
1,2018-09-21T00:00:00Z,5,hai,19,Female,White/Caucasian,$75000-$100000,6.333333333333333,1,1,1,4,4,4,NA,2,1.3,1.3,2.5,1.2,-0.7,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.6481433212325145,-4,-5,-1,6,9,3,0.7963532117966148,0.7263494597997379,-0.07000375199687692
1,2018-09-21T00:00:00Z,7,hai,22,Female,Asian,Preferred not to answer,5.333333333333333,0,1,1,1.5,3.3333333333333335,3.5,NA,1.4,2.4,1.5,3.2,0.8000000000000003,0.10000000000000009,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.9524210114628358,NA,NA,NA,4,6,2,-4.572874435090675,-3.0479422368983844,1.5249321981922908
1,2018-09-28T00:00:00Z,9,hai,21,Female,White/Caucasian,$75000-$100000,6.388888888888889,0,1,1,1,NA,3,NA,1,2.1,1,3.3,1.1999999999999997,0,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,-3,-5,-2,7,6,-1,1.3949387166546505,1.1082386353538334,-0.28670008130081714
1,2018-09-28T00:00:00Z,11,hai,21,Female,White/Caucasian,$75000-$100000,6.222222222222222,0,1,1.5,1,4,3.5,NA,1.6,3.9,1.7,4.3,0.3999999999999999,0.09999999999999987,NA,NA,NA,NA,NA,NA,0.8333333333333334,1.2566987016931563,-3,1,4,7,9,2,-1.938394616678683,0.1326746832638428,2.0710692999425255
1,2018-09-28T00:00:00Z,13,hai,19,Male,Other,$50000-$75000,6.611111111111111,0,1,2,1.5,4,3.25,NA,1.3,4,1,4.8,0.7999999999999998,-0.30000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,2,-1,-3,7,4,-3,-0.008055069179798716,0.19717416726797077,0.20522923644776947
1,2018-10-01T00:00:00Z,15,hai,19,Female,White/Caucasian,> $100000,6.388888888888889,1,1,1,1.5,4,3.75,NA,1.8,3.4,1.4,3.4,0,-0.40000000000000013,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.9524210114628358,-2,0,2,7,8,1,1.2146935832732517,0.749455627317094,-0.4652379559561577
1,2018-10-01T00:00:00Z,17,hai,21,Male,White/Caucasian,> $100000,6.277777777777778,1,1,1,1.5,4,3.25,NA,1,4,1,4,0,0,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,-4,-5,-1,5,8,3,0.5004078689875375,0.19717416726797077,-0.30323370171956676
1,2018-10-01T00:00:00Z,19,hai,19,Female,White/Caucasian,> $100000,2.7777777777777777,0,0,1,3,2.3333333333333335,2.6666666666666665,NA,1.1,1.7,1.1,1.5,-0.19999999999999996,0,NA,NA,NA,NA,NA,NA,0.9166666666666666,1.7192658576506807,-1,-2,-1,5,6,1,1.5429113880591891,1.4670216433905727,-0.07588974466861642
1,2018-10-01T00:00:00Z,21,hai,19,Female,White/Caucasian,> $100000,4.555555555555555,0,0,1,2.5,3.3333333333333335,3,NA,1,3,1,3.3,0.2999999999999998,0,NA,NA,NA,NA,NA,NA,0.3333333333333333,-4.257203446124878,-4,-3,1,6,7,1,1.135154242873169,0.749455627317094,-0.3856986155560749
